,n_subbins,n_pi_avg/entropy_gain/dark_R_D_0_5/,n_errors/entropy_gain/dark_R_D_0_5/,t_avg/entropy_gain/dark_R_D_0_5/,n_pi_avg/minbins/dark_R_D_0_5/,n_errors/minbins/dark_R_D_0_5/,t_avg/minbins/dark_R_D_0_5/,n_pi_avg/hmm_no_exp/dark_R_D_0_5/,n_errors/hmm_no_exp/dark_R_D_0_5/,t_avg/hmm_no_exp/dark_R_D_0_5/,n_pi_avg/hmm/dark_R_D_0_5/,n_errors/hmm/dark_R_D_0_5/,t_avg/hmm/dark_R_D_0_5/,n_pi_avg/aml/dark_R_D_0_5/,n_errors/aml/dark_R_D_0_5/,t_avg/aml/dark_R_D_0_5/,n_pi_avg/entropy_gain/dark_R_D_0/,n_errors/entropy_gain/dark_R_D_0/,t_avg/entropy_gain/dark_R_D_0/,n_pi_avg/minbins/dark_R_D_0/,n_errors/minbins/dark_R_D_0/,t_avg/minbins/dark_R_D_0/,n_pi_avg/hmm_no_exp/dark_R_D_0/,n_errors/hmm_no_exp/dark_R_D_0/,t_avg/hmm_no_exp/dark_R_D_0/,n_pi_avg/hmm/dark_R_D_0/,n_errors/hmm/dark_R_D_0/,t_avg/hmm/dark_R_D_0/,n_pi_avg/aml/dark_R_D_0/,n_errors/aml/dark_R_D_0/,t_avg/aml/dark_R_D_0/,n_pi_avg/entropy_gain/bright_R_D_0_5/,n_errors/entropy_gain/bright_R_D_0_5/,t_avg/entropy_gain/bright_R_D_0_5/,n_pi_avg/minbins/bright_R_D_0_5/,n_errors/minbins/bright_R_D_0_5/,t_avg/minbins/bright_R_D_0_5/,n_pi_avg/hmm_no_exp/bright_R_D_0_5/,n_errors/hmm_no_exp/bright_R_D_0_5/,t_avg/hmm_no_exp/bright_R_D_0_5/,n_pi_avg/hmm/bright_R_D_0_5/,n_errors/hmm/bright_R_D_0_5/,t_avg/hmm/bright_R_D_0_5/,n_pi_avg/aml/bright_R_D_0_5/,n_errors/aml/bright_R_D_0_5/,t_avg/aml/bright_R_D_0_5/,n_pi_avg/entropy_gain/bright_R_D_0/,n_errors/entropy_gain/bright_R_D_0/,t_avg/entropy_gain/bright_R_D_0/,n_pi_avg/minbins/bright_R_D_0/,n_errors/minbins/bright_R_D_0/,t_avg/minbins/bright_R_D_0/,n_pi_avg/hmm_no_exp/bright_R_D_0/,n_errors/hmm_no_exp/bright_R_D_0/,t_avg/hmm_no_exp/bright_R_D_0/,n_pi_avg/hmm/bright_R_D_0/,n_errors/hmm/bright_R_D_0/,t_avg/hmm/bright_R_D_0/,n_pi_avg/aml/bright_R_D_0/,n_errors/aml/bright_R_D_0/,t_avg/aml/bright_R_D_0/
0,5,1.00765,221.0,85.41,1.0072,209.0,85.47200000000001,1.0239,112.0,97.866,1.01305,128.0,82.618,0.0,127.0,89.08200000000001,1.0008,110.0,80.35399999999998,1.00045,132.0,80.366,1.01085,88.0,80.816,1.00645,111.0,80.506,0.0,114.0,79.902,0.0693,196.0,51.239999999999995,0.0644,203.0,51.264,0.0799,153.0,61.467999999999996,0.0692,170.0,46.152,0.0,200.0,50.342,0.01155,49.0,40.644,0.01025,56.0,40.562,0.0126,55.0,40.891999999999996,0.01305,50.0,40.928000000000004,0.0,66.0,40.309999999999995
1,6,1.1357,215.0,74.85666666666667,1.0144,233.0,74.82833333333333,1.05875,137.0,199.815,1.02465,181.0,70.38000000000001,0.0,128.0,101.02333333333334,1.00125,115.0,67.21000000000001,1.00215,109.0,67.275,1.04865,107.0,199.65833333333333,1.0137,103.0,67.43833333333333,0.0,140.0,99.77666666666667,0.1437,231.0,49.881666666666675,0.134,200.0,49.553333333333335,0.1439,156.0,56.64666666666667,0.13895,178.0,43.760000000000005,0.0,246.0,48.20666666666667,0.02685,63.0,34.626666666666665,0.0263,62.0,34.61166666666667,0.02545,49.0,35.61666666666667,0.02815,54.0,35.528333333333336,0.0,55.0,33.90833333333334
2,7,1.1905,200.0,68.95142857142858,1.01125,195.0,69.31428571428572,1.0792,167.0,199.72857142857143,1.0487,148.0,64.02571428571429,0.0,123.0,92.38571428571429,1.00315,87.0,58.0,1.0029,92.0,57.97714285714286,1.08225,118.0,199.6657142857143,1.0484,104.0,58.807142857142864,0.0,114.0,85.56285714285714,0.3157,212.0,47.35857142857143,0.059,243.0,47.674285714285716,0.07,165.0,60.790000000000006,0.0643,155.0,40.691428571428574,0.0,241.0,47.18714285714286,0.05095,40.0,30.747142857142858,0.05195,69.0,30.770000000000003,0.0499,52.0,32.88285714285715,0.0498,61.0,31.88142857142857,0.0,44.0,29.391428571428573
3,8,1.2419,192.0,63.04,1.01455,188.0,63.7825,1.11205,166.0,199.845,1.07175,129.0,58.504999999999995,0.0,125.0,80.72375000000001,1.0045,92.0,51.17,1.00445,83.0,51.10125,1.11905,94.0,199.82500000000002,1.08215,84.0,52.26875,0.0,108.0,74.885,0.3259,218.0,44.79875,0.09445,237.0,44.61375,0.09885,166.0,65.885,0.0815,156.0,38.20875,0.0,204.0,43.36625,0.07425,55.0,27.787499999999998,0.08365,55.0,28.146250000000002,0.0842,61.0,32.166250000000005,0.0807,51.0,29.762499999999996,0.0,46.0,26.0675
4,9,1.3087,233.0,58.98777777777778,1.02265,223.0,60.10666666666667,1.1648,186.0,199.88333333333333,1.1143,177.0,54.82444444444444,0.0,141.0,94.18888888888888,1.00775,83.0,45.93111111111111,1.006,74.0,45.84111111111111,1.17485,86.0,199.84,1.11445,87.0,47.20222222222222,0.0,118.0,88.72777777777777,0.4553,199.0,45.07555555555555,0.1358,233.0,44.49444444444445,0.14985,128.0,72.1,0.142,102.0,38.64888888888889,0.0,231.0,42.61,0.1046,64.0,25.75444444444444,0.10265,53.0,25.69333333333333,0.11635,55.0,31.911111111111108,0.114,48.0,28.132222222222218,0.0,46.0,23.68
5,10,1.3002,188.0,54.45,1.02775,206.0,54.897,1.2402,171.0,199.92000000000002,1.15385,161.0,50.863,0.0,108.0,84.81099999999999,1.0142,96.0,41.91,1.0118,96.0,41.844,1.255,99.0,199.82,1.1605,77.0,43.378,0.0,125.0,79.832,0.30285,189.0,38.234,0.174,170.0,38.752,0.2115,116.0,74.78,0.1867,103.0,38.186,0.0,183.0,36.656,0.14705,63.0,24.483,0.14425,49.0,24.416000000000004,0.15895,50.0,32.995999999999995,0.1625,63.0,27.485,0.0,59.0,21.692
6,11,1.3921,175.0,52.92636363636365,1.0392,200.0,52.509090909090915,1.2582,142.0,199.9127272727273,1.2029,166.0,48.03727272727273,0.0,118.0,80.17545454545456,1.0196,66.0,38.59363636363637,1.0177,62.0,38.48636363636364,1.26115,91.0,199.86363636363637,1.19715,76.0,40.06181818181818,0.0,91.0,72.61636363636364,0.61425,152.0,41.871818181818185,0.225,203.0,39.11454545454546,0.2605,110.0,80.58818181818182,0.24115,111.0,31.070000000000004,0.0,192.0,37.191818181818185,0.18365,55.0,23.326363636363638,0.1875,60.0,23.413636363636364,0.2016,51.0,34.93636363636364,0.19735,57.0,24.91909090909091,0.0,59.0,20.083636363636366
7,12,1.4342,183.0,50.77666666666667,1.0554,179.0,50.18416666666667,1.3097,143.0,199.9566666666667,1.247,160.0,46.18416666666667,0.0,140.0,87.48083333333334,1.02635,93.0,35.87833333333333,1.02975,77.0,36.06333333333334,1.31895,99.0,199.75250000000003,1.2563,76.0,37.715,0.0,106.0,83.18416666666668,0.71105,160.0,41.840833333333336,0.2887,186.0,38.876666666666665,0.3209,101.0,86.70416666666668,0.3032,145.0,31.122500000000002,0.0,194.0,36.005,0.2246,60.0,22.48416666666667,0.23245,51.0,22.67666666666667,0.2627,47.0,37.795833333333334,0.26075,67.0,24.791666666666668,0.0,45.0,18.848333333333336
8,13,1.49975,201.0,49.042307692307695,1.0754,201.0,48.82615384615385,1.37685,144.0,199.91923076923078,1.3059,142.0,44.49923076923077,0.0,110.0,83.25384615384615,1.03765,75.0,33.74384615384616,1.03385,59.0,33.59769230769231,1.3922,84.0,199.88923076923078,1.30935,79.0,35.62538461538462,0.0,106.0,76.76923076923077,0.81915,169.0,41.51307692307692,0.35295,160.0,38.92153846153846,0.409,112.0,94.49076923076923,0.3727,116.0,30.940769230769234,0.0,194.0,35.68538461538461,0.267,74.0,21.815384615384616,0.2697,56.0,21.873846153846152,0.3148,82.0,40.27076923076923,0.3131,70.0,24.275384615384617,0.0,60.0,17.824615384615385
9,14,1.5046,152.0,47.72571428571429,1.0688,179.0,47.78571428571429,1.4552,117.0,199.965,1.37865,143.0,43.49142857142857,0.0,139.0,77.26428571428572,1.04845,71.0,31.822857142857142,1.0471,84.0,31.825714285714284,1.48125,92.0,199.84214285714287,1.36065,73.0,33.81357142857143,0.0,96.0,71.31428571428572,0.802,158.0,40.71714285714286,0.3292,195.0,39.15428571428572,0.4178,128.0,101.29785714285714,0.36775,111.0,31.001428571428576,0.0,193.0,36.06,0.3203,58.0,21.48857142857143,0.3133,72.0,21.32071428571429,0.37685,64.0,42.597857142857144,0.35845,53.0,23.617857142857147,0.0,54.0,16.967142857142857
