,n_subbins,n_pi_avg/entropy_gain/dark_R_D_0_5/,n_errors/entropy_gain/dark_R_D_0_5/,t_avg/entropy_gain/dark_R_D_0_5/,n_pi_avg/minbins/dark_R_D_0_5/,n_errors/minbins/dark_R_D_0_5/,t_avg/minbins/dark_R_D_0_5/,n_pi_avg/hmm_no_exp/dark_R_D_0_5/,n_errors/hmm_no_exp/dark_R_D_0_5/,t_avg/hmm_no_exp/dark_R_D_0_5/,n_pi_avg/hmm/dark_R_D_0_5/,n_errors/hmm/dark_R_D_0_5/,t_avg/hmm/dark_R_D_0_5/,n_pi_avg/aml/dark_R_D_0_5/,n_errors/aml/dark_R_D_0_5/,t_avg/aml/dark_R_D_0_5/,n_pi_avg/entropy_gain/dark_R_D_0/,n_errors/entropy_gain/dark_R_D_0/,t_avg/entropy_gain/dark_R_D_0/,n_pi_avg/minbins/dark_R_D_0/,n_errors/minbins/dark_R_D_0/,t_avg/minbins/dark_R_D_0/,n_pi_avg/hmm_no_exp/dark_R_D_0/,n_errors/hmm_no_exp/dark_R_D_0/,t_avg/hmm_no_exp/dark_R_D_0/,n_pi_avg/hmm/dark_R_D_0/,n_errors/hmm/dark_R_D_0/,t_avg/hmm/dark_R_D_0/,n_pi_avg/aml/dark_R_D_0/,n_errors/aml/dark_R_D_0/,t_avg/aml/dark_R_D_0/,n_pi_avg/entropy_gain/bright_R_D_0_5/,n_errors/entropy_gain/bright_R_D_0_5/,t_avg/entropy_gain/bright_R_D_0_5/,n_pi_avg/minbins/bright_R_D_0_5/,n_errors/minbins/bright_R_D_0_5/,t_avg/minbins/bright_R_D_0_5/,n_pi_avg/hmm_no_exp/bright_R_D_0_5/,n_errors/hmm_no_exp/bright_R_D_0_5/,t_avg/hmm_no_exp/bright_R_D_0_5/,n_pi_avg/hmm/bright_R_D_0_5/,n_errors/hmm/bright_R_D_0_5/,t_avg/hmm/bright_R_D_0_5/,n_pi_avg/aml/bright_R_D_0_5/,n_errors/aml/bright_R_D_0_5/,t_avg/aml/bright_R_D_0_5/,n_pi_avg/entropy_gain/bright_R_D_0/,n_errors/entropy_gain/bright_R_D_0/,t_avg/entropy_gain/bright_R_D_0/,n_pi_avg/minbins/bright_R_D_0/,n_errors/minbins/bright_R_D_0/,t_avg/minbins/bright_R_D_0/,n_pi_avg/hmm_no_exp/bright_R_D_0/,n_errors/hmm_no_exp/bright_R_D_0/,t_avg/hmm_no_exp/bright_R_D_0/,n_pi_avg/hmm/bright_R_D_0/,n_errors/hmm/bright_R_D_0/,t_avg/hmm/bright_R_D_0/,n_pi_avg/aml/bright_R_D_0/,n_errors/aml/bright_R_D_0/,t_avg/aml/bright_R_D_0/
0,5,1.00285,1.0,85.724,1.0016,0.0,85.678,1.0025,0.0,85.908,1.00205,5.0,82.08399999999999,0.0,0.0,88.846,1.0,0.0,80.302,1.0,0.0,80.274,1.00005,0.0,80.274,1.0,1.0,80.282,0.0,0.0,80.0,0.07695,0.0,52.99,0.07355,0.0,52.502,0.07285,0.0,52.611999999999995,0.07395,1.0,46.646,0.0,1.0,50.972,0.0127,0.0,40.762,0.0135,0.0,40.812,0.0136,0.0,40.818000000000005,0.00645,0.0,40.516,0.0,3.0,40.274
1,6,1.15105,0.0,75.34333333333333,1.00675,0.0,75.28833333333333,1.0074,0.0,75.16833333333335,1.0028,5.0,69.81666666666668,0.0,0.0,109.00333333333333,1.0003,0.0,67.17166666666668,1.0005,1.0,67.24,1.0005,0.0,67.20666666666668,1.0,4.0,67.19333333333334,0.0,0.0,100.0,0.37135,0.0,51.800000000000004,0.1513,0.0,51.34,0.15835,1.0,51.75333333333334,0.1443,4.0,43.608333333333334,0.0,0.0,48.973333333333336,0.0314,0.0,34.92000000000001,0.0301,0.0,34.843333333333334,0.0317,0.0,34.925000000000004,0.01545,0.0,34.36333333333334,0.0,0.0,33.861666666666665
2,7,1.1998,0.0,69.40142857142858,1.00665,0.0,69.98428571428572,1.00695,0.0,70.05571428571429,1.00305,4.0,62.99142857142857,0.0,0.0,92.35285714285715,1.0016,0.0,57.978571428571435,1.0018,0.0,58.10000000000001,1.0013,0.0,57.980000000000004,1.00065,0.0,58.0,0.0,0.0,85.71428571428572,0.3354,0.0,48.86428571428572,0.06055,0.0,49.44714285714286,0.05435,0.0,49.330000000000005,0.05725,9.0,40.135714285714286,0.0,0.0,48.28285714285715,0.0569,0.0,31.03428571428572,0.05435,0.0,30.924285714285713,0.0568,0.0,31.03,0.0535,1.0,30.882857142857144,0.0,0.0,29.391428571428573
3,8,1.25505,0.0,63.90125,1.00995,0.0,64.73124999999999,1.0104,0.0,64.55499999999999,1.00875,9.0,56.4825,0.0,0.0,84.54125,1.0044,0.0,51.349999999999994,1.0034,0.0,51.166250000000005,1.004,0.0,51.263749999999995,1.00145,0.0,51.175000000000004,0.0,0.0,75.0,0.3408,0.0,45.87625,0.09735,1.0,45.975,0.0971,1.0,45.885,0.09965,9.0,38.035000000000004,0.0,1.0,44.275,0.087,0.0,28.318749999999998,0.0886,0.0,28.38,0.0886,0.0,28.36375,0.0907,4.0,28.44625,0.0,1.0,26.16625
4,9,1.32455,0.0,60.03222222222222,1.01695,0.0,60.873333333333335,1.0159,1.0,60.75555555555555,1.01685,13.0,51.662222222222226,0.0,0.0,94.86999999999999,1.0088,0.0,46.096666666666664,1.0074,0.0,46.01888888888889,1.0093,0.0,46.12777777777778,1.0083,0.0,46.154444444444444,0.0,0.0,88.88888888888889,0.48345,1.0,47.29111111111111,0.1492,0.0,46.06666666666666,0.1466,0.0,46.21333333333333,0.1459,6.0,36.97888888888889,0.0,1.0,43.56666666666666,0.1251,0.0,26.483333333333334,0.1241,0.0,26.443333333333335,0.1285,0.0,26.606666666666666,0.124,0.0,26.451111111111107,0.0,0.0,23.644444444444446
5,10,1.35405,0.0,56.577,1.0266,2.0,55.637,1.0253,1.0,55.959,1.025,6.0,48.093,0.0,0.0,87.95299999999999,1.0116,0.0,42.054,1.0134,0.0,42.066,1.0154,0.0,42.144000000000005,1.015,0.0,42.091,0.0,0.0,80.0,0.56025,0.0,44.205,0.18525,2.0,40.401999999999994,0.19895,2.0,40.749,0.189,6.0,36.669,0.0,2.0,38.112,0.1651,0.0,25.084,0.1697,0.0,25.227,0.1646,0.0,25.055,0.1605,1.0,24.964,0.0,1.0,21.743000000000002
6,11,1.40995,0.0,54.13545454545455,1.0436,0.0,53.651818181818186,1.0418,0.0,53.60090909090909,1.03555,20.0,44.94818181818182,0.0,1.0,95.87,1.0211,0.0,38.834545454545456,1.0213,0.0,38.80636363636364,1.022,0.0,38.8609090909091,1.0216,0.0,38.82818181818182,0.0,0.0,90.90909090909092,0.6508,1.0,43.902727272727276,0.25295,1.0,41.28727272727273,0.2589,0.0,41.485454545454544,0.25205,11.0,30.81909090909091,0.0,0.0,38.40818181818182,0.204,0.0,23.92818181818182,0.20925,0.0,24.064545454545456,0.2101,0.0,24.09727272727273,0.2117,1.0,24.141818181818184,0.0,0.0,20.26090909090909
7,12,1.46565,1.0,51.90500000000001,1.0634,0.0,51.56250000000001,1.062,0.0,51.54416666666667,1.0576,30.0,42.77583333333333,0.0,1.0,91.13166666666667,1.0307,0.0,36.14000000000001,1.03505,1.0,36.3675,1.0337,0.0,36.2475,1.0327,0.0,36.2625,0.0,0.0,83.33333333333334,0.7605,0.0,43.67583333333334,0.31475,0.0,40.57833333333333,0.31615,0.0,40.57416666666667,0.3136,15.0,30.630000000000003,0.0,1.0,36.98083333333334,0.2657,0.0,23.55,0.2432,0.0,22.98416666666667,0.2602,0.0,23.455833333333338,0.2531,0.0,23.253333333333334,0.0,1.0,19.045833333333334
8,13,1.4901,0.0,50.534615384615385,1.05695,0.0,50.46076923076923,1.05045,2.0,50.06923076923077,1.0539,22.0,41.246923076923075,0.0,0.0,83.18,1.0401,0.0,33.97538461538462,1.0427,0.0,34.01461538461538,1.0445,0.0,34.14846153846154,1.045,0.0,34.09307692307693,0.0,0.0,76.92307692307692,0.7747,0.0,43.16307692307693,0.30325,0.0,40.7,0.3051,1.0,40.785384615384615,0.3036,13.0,30.183076923076925,0.0,0.0,37.02076923076923,0.2973,0.0,22.576923076923077,0.2967,0.0,22.545384615384616,0.2927,0.0,22.47153846153846,0.2959,0.0,22.571538461538463,0.0,0.0,17.993846153846153
9,14,1.53835,1.0,49.26857142857143,1.07415,1.0,49.17,1.07305,1.0,49.120000000000005,1.0659,22.0,39.56357142857143,0.0,1.0,92.35214285714287,1.0597,0.0,32.31357142857143,1.0577,0.0,32.255714285714284,1.0567,0.0,32.21214285714286,1.0545,0.0,32.22785714285714,0.0,0.0,85.71428571428572,0.8633,1.0,42.690000000000005,0.3455,0.0,40.62285714285714,0.36185,0.0,40.971428571428575,0.36155,16.0,30.24714285714286,0.0,0.0,37.45357142857143,0.3443,0.0,22.06714285714286,0.3362,0.0,21.879285714285714,0.3417,0.0,21.99,0.3475,0.0,22.13,0.0,0.0,17.141428571428573
