,idx,hist/hmm/dark_bkd/,hist/hmm_no_exp/dark_bkd/,hist/entropy_gain/dark_bkd/,hist/minbins/dark_bkd/,hist/aml/dark_bkd/,hist/hmm/dark/,hist/hmm_no_exp/dark/,hist/entropy_gain/dark/,hist/minbins/dark/,hist/aml/dark/,hist/hmm/bright_bkd/,hist/hmm_no_exp/bright_bkd/,hist/entropy_gain/bright_bkd/,hist/minbins/bright_bkd/,hist/aml/bright_bkd/,hist/hmm/bright/,hist/hmm_no_exp/bright/,hist/entropy_gain/bright/,hist/minbins/bright/,hist/aml/bright/
0,1,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36501.0,13992.0,13490.0,13691.0,13881.0,71469.0,71522.0,71322.0,71418.0,71550.0
1,2,35448.0,13367.0,13491.0,13383.0,1.0,71508.0,71379.0,71388.0,71638.0,0.0,25559.0,29431.0,13112.0,29416.0,33230.0,0.0,0.0,0.0,0.0,20305.0
2,3,35170.0,32540.0,16092.0,32294.0,0.0,20383.0,20439.0,20400.0,20207.0,0.0,3606.0,8201.0,1516.0,8396.0,12202.0,0.0,0.0,0.0,0.0,5839.0
3,4,14093.0,24765.0,28151.0,24966.0,0.0,0.0,0.0,0.0,0.0,0.0,13538.0,13780.0,27627.0,13846.0,17324.0,20367.0,20328.0,20482.0,20388.0,1670.0
4,5,2766.0,6168.0,1246.0,6048.0,1.0,0.0,0.0,0.0,0.0,0.0,10787.0,14635.0,5079.0,14474.0,11818.0,5813.0,5765.0,5891.0,5877.0,471.0
5,6,5104.0,8490.0,20208.0,8548.0,0.0,5763.0,5766.0,5883.0,5857.0,0.0,4335.0,7968.0,20210.0,8349.0,3060.0,0.0,0.0,0.0,0.0,123.0
6,7,3682.0,6311.0,3139.0,6418.0,0.0,1641.0,1731.0,1649.0,1621.0,0.0,1887.0,3319.0,1636.0,3289.0,3814.0,0.0,0.0,0.0,0.0,30.0
7,8,1689.0,3050.0,9160.0,3177.0,81603.0,0.0,0.0,0.0,0.0,100000.0,2112.0,3346.0,9589.0,3262.0,2440.0,1648.0,1723.0,1653.0,1649.0,12.0
8,9,892.0,1780.0,1547.0,1772.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,2065.0,1641.0,2053.0,620.0,508.0,490.0,465.0,488.0,0.0
9,10,584.0,1405.0,3937.0,1385.0,0.0,513.0,463.0,480.0,485.0,0.0,352.0,1202.0,3026.0,1230.0,760.0,0.0,0.0,0.0,0.0,0.0
10,11,188.0,824.0,853.0,771.0,15478.0,131.0,157.0,142.0,134.0,0.0,286.0,742.0,726.0,738.0,448.0,0.0,0.0,0.0,0.0,0.0
11,12,209.0,478.0,1021.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,542.0,1319.0,504.0,117.0,133.0,139.0,136.0,125.0,0.0
12,13,45.0,289.0,321.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,284.0,300.0,299.0,118.0,44.0,23.0,34.0,32.0,0.0
13,14,52.0,201.0,414.0,206.0,2453.0,43.0,47.0,42.0,40.0,0.0,25.0,208.0,339.0,187.0,95.0,0.0,0.0,0.0,0.0,0.0
14,15,21.0,103.0,130.0,95.0,0.0,11.0,12.0,11.0,13.0,0.0,22.0,118.0,128.0,93.0,21.0,0.0,0.0,0.0,0.0,0.0
15,16,13.0,88.0,130.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,125.0,74.0,20.0,12.0,7.0,14.0,13.0,0.0
16,17,12.0,47.0,46.0,29.0,387.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,43.0,35.0,16.0,3.0,2.0,2.0,8.0,0.0
17,18,2.0,36.0,52.0,27.0,0.0,5.0,2.0,3.0,2.0,0.0,3.0,26.0,43.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0
18,19,3.0,21.0,18.0,15.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,19.0,19.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0
19,20,0.0,37.0,43.0,20.0,77.0,0.0,0.0,1.0,1.0,0.0,1.0,29.0,32.0,24.0,8.0,0.0,1.0,1.0,2.0,0.0
