,idx,hist/entropy_gain/dark_R_D_0_5/,hist/minbins/dark_R_D_0_5/,hist/hmm_no_exp/dark_R_D_0_5/,hist/hmm/dark_R_D_0_5/,hist/aml/dark_R_D_0_5/,hist/entropy_gain/dark_R_D_0/,hist/minbins/dark_R_D_0/,hist/hmm_no_exp/dark_R_D_0/,hist/hmm/dark_R_D_0/,hist/aml/dark_R_D_0/,hist/entropy_gain/bright_R_D_0_5/,hist/minbins/bright_R_D_0_5/,hist/hmm_no_exp/bright_R_D_0_5/,hist/hmm/bright_R_D_0_5/,hist/aml/bright_R_D_0_5/,hist/entropy_gain/bright_R_D_0/,hist/minbins/bright_R_D_0/,hist/hmm_no_exp/bright_R_D_0/,hist/hmm/bright_R_D_0/,hist/aml/bright_R_D_0/
0,1,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.0,2775.0,2773.0,7257.0,2676.0,14189.0,14228.0,14364.0,14362.0,14328.0
1,2,2696.0,2668.0,2746.0,7057.0,0.0,14273.0,14275.0,14351.0,14378.0,0.0,2510.0,5828.0,5841.0,5214.0,6768.0,0.0,0.0,0.0,0.0,4008.0
2,3,3306.0,6444.0,6518.0,7103.0,0.0,4102.0,4101.0,4044.0,4045.0,0.0,313.0,1639.0,1605.0,728.0,2387.0,0.0,0.0,0.0,0.0,1178.0
3,4,5535.0,4969.0,4913.0,2771.0,0.0,0.0,0.0,0.0,0.0,0.0,5559.0,2736.0,2820.0,2648.0,3449.0,4142.0,4113.0,4037.0,4005.0,359.0
4,5,261.0,1208.0,1149.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,2922.0,2937.0,2138.0,2395.0,1202.0,1170.0,1137.0,1185.0,84.0
5,6,4105.0,1717.0,1670.0,1056.0,0.0,1187.0,1142.0,1181.0,1088.0,0.0,4086.0,1676.0,1606.0,865.0,621.0,0.0,0.0,0.0,0.0,28.0
6,7,582.0,1297.0,1284.0,758.0,0.0,320.0,338.0,293.0,320.0,0.0,331.0,633.0,686.0,390.0,764.0,0.0,0.0,0.0,0.0,10.0
7,8,1872.0,617.0,664.0,335.0,16391.0,0.0,0.0,0.0,0.0,20000.0,1899.0,692.0,661.0,416.0,473.0,324.0,355.0,336.0,315.0,5.0
8,9,293.0,356.0,326.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,403.0,391.0,141.0,133.0,110.0,98.0,93.0,95.0,0.0
9,10,768.0,294.0,306.0,110.0,0.0,82.0,110.0,86.0,112.0,0.0,609.0,271.0,270.0,87.0,137.0,0.0,0.0,0.0,0.0,0.0
10,11,161.0,166.0,149.0,42.0,3048.0,25.0,21.0,30.0,43.0,0.0,146.0,155.0,142.0,51.0,103.0,0.0,0.0,0.0,0.0,0.0
11,12,192.0,97.0,109.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,100.0,103.0,30.0,23.0,23.0,27.0,22.0,23.0,0.0
12,13,77.0,61.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,60.0,54.0,20.0,25.0,8.0,6.0,9.0,12.0,0.0
13,14,77.0,44.0,46.0,5.0,474.0,6.0,7.0,13.0,9.0,0.0,73.0,44.0,45.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0
14,15,21.0,24.0,30.0,4.0,0.0,1.0,4.0,1.0,4.0,0.0,20.0,22.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
15,16,31.0,17.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,20.0,3.0,9.0,2.0,3.0,1.0,3.0,0.0
16,17,7.0,8.0,12.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0
17,18,7.0,6.0,7.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,13.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
18,19,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,6.0,3.0,6.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
